"status","title","category","subcategory","price_from","title_en"
"draft","Demontaż ościeżnicy drewnianej","demontaz","Demontaż drzwi","99.00","Wooden Frame"
"draft","Demontaż ościeżnicy regulowanej","demontaz","Demontaż drzwi","99.00","Adjustable Frame"
"draft","Utylizacja starych drzwi","demontaz","Demontaż drzwi","100.00","Disposal of Old Doors"
"draft","Demontaż ościeżnicy stalowej","demontaz","Demontaż drzwi","150.00","Steel Frame"
"draft","Przegląd techniczny (powyżej 5 sztuk)","uslugi-dodatkowe","Diagnostyka i doradztwo","300.00","Inspection Technical (over 5 units)"
"draft","Pomiar okien do wymiany","uslugi-dodatkowe","Diagnostyka i doradztwo","50.00","Measurement of replacement windows"
"draft","Ekspertyza techniczna","uslugi-dodatkowe","Diagnostyka i doradztwo","200.00","Technical expertise"
"draft","Przegląd techniczny okien (do 5 sztuk)","uslugi-dodatkowe","Diagnostyka i doradztwo","250.00","Technical Inspection of Windows (Up to 5 Units)"
"draft","Doradztwo techniczne","uslugi-dodatkowe","Diagnostyka i doradztwo","100.00","Technical advice"
"draft","Uszczelnienie pianką montażową","uszczelnianie","Dodatkowe uszczelnianie","49.00","Foam sealing"
"draft","Uszczelnienie silikonem","uszczelnianie","Dodatkowe uszczelnianie","20.00","Silicone sealing"
"draft","Montaż dodatkowych uszczelek","uszczelnianie","Dodatkowe uszczelnianie","19.00","Installation of additional seals"
"draft","Izolacja termiczna ościeżnicy","uszczelnianie","Dodatkowe uszczelnianie","300.00","Thermal insulation of the door frame"
"draft","Naprawa drzwi balkonowych","naprawa","Drzwi","65.00","Balcony Door Repair"
"draft","Kompletna wymiana uszczelek - drzwi zewnętrzne","uszczelnianie","Drzwi","200.00","Complete seal replacement - exterior doors"
"draft","Kompletna wymiana uszczelek - drzwi wewnętrzne","uszczelnianie","Drzwi","200.00","Complete seal replacement - interior doors"
"draft","Regulacja bramy garażowej","regulacja","Drzwi","350.00","Garage Door Adjustment"
"draft","Regulacja drzwi","regulacja","Drzwi","150.00","Door Adjustment"
"draft","Wymiana szyby w drzwiach przesuwnych","naprawa","Drzwi","250.00","Sliding Door Glass Replacement"
"draft","Regulacja drzwi zewnętrznych","regulacja","Drzwi","180.00","Exterior Door Adjustment"
"draft","Wymiana szyby w drzwiach aluminiowych","naprawa","Drzwi","210.00","Aluminum Door Glass Replacement"
"draft","Regulacja drzwi balkonowych","regulacja","Drzwi","65.00","Balcony Door Adjustment"
"draft","Regulacja drzwi wewnętrznych","regulacja","Drzwi","60.00","Interior Door Adjustment"
"draft","Wymiana szyby w drzwiach drewnianych","naprawa","Drzwi","250.00","Wooden Door Glass Replacement"
"draft","Regulacja drzwi PCV","regulacja","Drzwi","99.00","PVC Door Adjustment"
"draft","Drzwi wewnętrzne dwuskrzydłowe","montaz","Drzwi wewnętrzne","700.00","Double interior doors"
"draft","Drzwi wewnętrzne szklane","montaz","Drzwi wewnętrzne","900.00","Glass interior doors"
"draft","Drzwi wewnętrzne pojedyncze","montaz","Drzwi wewnętrzne","350.00","Single interior doors"
"draft","Drzwi zewnętrzne (wejściowe)","montaz","Drzwi zewnętrzne","950.00","Exterior (entrance) doors"
"draft","Konserwacja ze zdjęciem skrzydła","konserwacja","Konserwacja","99.00","Maintenance with removing the sash"
"draft","Konserwacja bez zdejmowania skrzydła","konserwacja","Konserwacja","45.00","Maintenance without removing the sash"
"draft","Transport i wniesienie drzwi","uslugi-dodatkowe","Montaż drzwi","250.00","Door transport and handling"
"draft","Drzwi przesuwne","montaz","Montaż drzwi","1200.00","Sliding doors"
"draft","Drzwi składane (harmonijkowe)","montaz","Montaż drzwi","320.00","Folding (accordion) doors"
"draft","Drzwi Techniczne RTG","montaz","Montaż drzwi specjalistycznych","2500.00","X-Ray Technical Doors"
"draft","Drzwi Przeciwpożarowe EI60 (jednoskrzydłowe)","montaz","Montaż drzwi specjalistycznych","1200.00","EI60 Fire-Rated Doors (single-leaf)"
"draft","Drzwi Akustyczne 46-55 dB","montaz","Montaż drzwi specjalistycznych","1200.00","Acoustic Doors 46-55 dB"
"draft","Drzwi Przeciwpożarowe EI30 (jednoskrzydłowe)","montaz","Montaż drzwi specjalistycznych","1200.00","EI30 Fire-Rated Doors (single-leaf)"
"draft","Drzwi Techniczne Do pomieszczeń czystych","montaz","Montaż drzwi specjalistycznych","1200.00","Clean Room Technical Doors"
"draft","Drzwi Akustyczne 38-45 dB","montaz","Montaż drzwi specjalistycznych","1200.00","Acoustic Doors 38-45 dB"
"draft","Drzwi Przeciwpożarowe EI120 (jednoskrzydłowe)","montaz","Montaż drzwi specjalistycznych","1200.00","EI120 Fire-Rated Doors (single leaf)"
"draft","Drzwi Techniczne Automatyczne","specjalistyczne","Montaż drzwi specjalistycznych","2500.00","Automatic Technical Doors"
"draft","Drzwi Akustyczne 32-37 dB","montaz","Montaż drzwi specjalistycznych","1200.00","Acoustic Doors 32-37 dB"
"draft","Drzwi Techniczne Chłodnicze","montaz","Montaż drzwi specjalistycznych","1200.00","Cold Room Technical Doors"
"draft","Wymiana szyby w oknie aluminiowym","naprawa","Okna","135.00","Aluminum Window Glass Replacement"
"draft","Kompletna wymiana uszczelek - okno drewniane","uszczelnianie","Okna","550.00","Complete seal replacement - wooden window"
"draft","Naprawa zawiasów","naprawa","Okna","200.00","Hinge Repair"
"draft","Regulacja z czyszczeniem i smarowaniem","regulacja","Okna","60.00","Adjustment with Cleaning and Lubrication"
"draft","Regulacja z przywracaniem geometrii","regulacja","Okna","150.00","Adjustment with Geometry Restoration"
"draft","Naprawa mikrowentylacji","naprawa","Okna","40.00","Micro-Ventilation Repair"
"draft","Naprawa/wymiana klamki","naprawa","Okna","39.00","Door Handle Repair/Replacement"
"draft","Naprawa mechanizmu otwierania","naprawa","Okna","65.00","Open Mechanism Repair"
"draft","Naprawa okien PCV","naprawa","Okna","75.00","PVC Window Repair"
"draft","Regulacja okien balkonowych","regulacja","Okna","65.00","Balcony Window Adjustment"
"draft","Kompletna wymiana uszczelek - okno standardowe","uszczelnianie","Okna","320.00","Complete seal replacement - standard window"
"draft","Usunięcie obluzowania szyby","naprawa","Okna","99.00","Removing Loose Glass"
"draft","Naprawa okien drewnianych","naprawa","Okna","99.00","Wooden Window Repair"
"draft","Konserwacja okien drewnianych (czyszczenie + impregnacja)","konserwacja","Okna","90.00","Maintenance of wooden windows (cleaning + impregnation)"
"draft","Regulacja okien przesuwnych PSK/HS","regulacja","Okna","250.00","Adjustment of PSK/HS Sliding Windows"
"draft","Regulacja standardowa skrzydła okiennego","regulacja","Okna","40.00","Standard Window Sash Adjustment"
"draft","Zaawansowana regulacja ze zdejmowaniem skrzydła","regulacja","Okna","99.00","Advanced Adjustment with Sash Removal"
"draft","Wymiana szyby w oknie PCV","naprawa","Okna","69.00","PVC Window Glass Replacement"
"draft","Naprawa zamka","naprawa","Okna","60.00","Lock Repair"
"draft","Wymiana szyby w oknie drewnianym","naprawa","Okna","128.00","Wooden Window Glass Replacement"
"draft","Naprawa okien aluminiowych","naprawa","Okna","99.00","Aluminum Window Repair"
"draft","Czyszczenie i smarowanie okuć","konserwacja","Okucia","90.00","Cleaning and lubrication of hardware"
"draft","Smarowanie okuć (komplet)","konserwacja","Okucia","45.00","Lubrication of hardware (complete)"
"draft","Montaż progu","montaz","Prace dodatkowe przy montażu","150.00","Installation of a Threshold"
"draft","Powiększenie otworu do 5 cm (cegła)","montaz","Prace dodatkowe przy montażu","500.00","Enlarging the Opening to 5 cm (Brick)"
"draft","Powiększenie otworu do 5 cm (beton)","montaz","Prace dodatkowe przy montażu","900.00","Enlarging the Opening to 5 cm (Concrete)"
"draft","Wykonanie otworu pod wizjer","montaz","Prace dodatkowe przy montażu","55.00","Creating a Hole for a Peephole"
"draft","Montaż klapki dla zwierząt","uslugi-dodatkowe","Usługi specjalne","250.00","Installation of a Pet Flap"
"draft","Odblokowanie drzwi balkonowych","uslugi-dodatkowe","Usługi specjalne","250.00","Unlocking a Balcony Door"
"draft","Odblokowanie zatrzaśniętego okna","uslugi-dodatkowe","Usługi specjalne","250.00","Unlocking a Stuck Window"
"draft","Montaż parapetu zewnętrznego","uslugi-dodatkowe","Usługi specjalne","87.00","Installation of an External Window Sill"
"draft","Montaż parapetu wewnętrznego","uslugi-dodatkowe","Usługi specjalne","87.00","Installation of an Internal Window Sill"
"draft","Awaryjne otwarcie (szybki dojazd, również poza godzinami pracy)","uslugi-dodatkowe","Usługi specjalne","299.00","Emergency Opening (Quick Access, Also Outside of Office Hours)"
"draft","Zmiana funkcji okna (z rozwiernej na uchylno-rozwierną)","uslugi-dodatkowe","Usługi specjalne","500.00","Changing the Window Function (from Turn to Tilt-and-Turn)"