"Kategoria pakietu","Nazwa pakietu","Opis","Rabat/Cena","Kod","Dla kogo/Gdzie"
"Według typu zabudowy","PAKIET 'DOM JEDNORODZINNY'","-15% przy 6+ oknach, Konserwacja gratis, Gwarancja extended, Dedicated specialist","-15%","DOM15","Bemowo, Ursynów, Wilanów, Wawer, Białołęka"
"Według typu zabudowy","PAKIET 'OSIEDLE MIESZKANIOWE'","-20% przy 10+ mieszkaniach, -25% przy 15+ mieszkaniach, Koordynacja z administracją, Harmonogram roczny","-20% do -25%","OSIEDLE20","Wszystkie dzielnice z blokami"
"Według typu zabudowy","PAKIET 'APARTAMENTY PREMIUM'","-18% przy kompleksowej obsłudze, Serwis po godzinach, Priorytet w kolejce, VIP treatment","-18%","PREMIUM18","Śródmieście, Wola, Mokotów, Praga-Południe"
"Według typu zabudowy","PAKIET 'KAMIENICE ZABYTKOWE'","-10% przy zachowaniu charakteru, Bezpłatna konsultacja konserwatorska, Części stylizowane, Dokumentacja","-10%","ZABYTEK10","Śródmieście, Żoliborz, Praga-Północ, Wola"
"Według typu zabudowy","PAKIET 'VIP WILLE'","-25% przy kontrakcie rocznym, Express service, Master craftsman, Concierge approach","-25%","VIP25","Wilanów, Kabaty (Ursynów), Mokotów"
"Według lokalizacji","PAKIET 'PRZY METRO'","Szybki dojazd, Flexible timing","-10%","","Ursynów, Mokotów, Wola, Bemowo, Bielany"
"Według lokalizacji","PAKIET 'DZIELNICE ZIELONE'","Eco-friendly service, Extended warranty","Dojazd gratis","","Wawer, Las Kabacki, Bielany (las), Białołęka"
"Według lokalizacji","PAKIET 'EXPRESS CENTRUM'","15 minut guaranteed, Parking solutions","+15 zł dopłata","","Śródmieście, Żoliborz, Ochota"
"Według lokalizacji","PAKIET 'PRAGA SPECJAL'","Lofty industrialne, Kamienice Praga, Nowe apartamenty","95 zł/okno, 65 zł/serwis, optymalizacja gratis","","Praga-Północ, Praga-Południe"
"Według problemu","PAKIET 'POST-GWARANCJA'","Współpraca z deweloperami, Upgrade komponenty, Program sąsiedzki","-20% (pierwsza optymalizacja), -15% (sąsiedzi)","","Bemowo, Białołęka, nowe inwestycje"
"Według problemu","PAKIET 'MODERNIZACJA BLOK'","Abonament roczny (2 wizyty w cenie 1), Rozłożenie na raty, Warunki dla wspólnot, Loyalty program","Różne","","Targówek, Praga, starsze osiedla"
"Według problemu","PAKIET 'BIZNES'","Serwis nocny, Umowy roczne, Faktury odroczone, Account manager","Różne","","Wola, Śródmieście, centra biznesowe"
"Według klienta","PAKIET 'SŁUŻBY'","Dla rodzin wojskowych, policyjnych, strażackich. Flexible schedule, Extended warranty","-15%","","Wszystkie dzielnice"
"Według klienta","PAKIET 'MŁODA RODZINA'","Child safety check, Progresywne rabaty","-10% na pierwszy serwis","","Wszystkie dzielnice"
"Według kliente","PAKIET 'ARTYŚCI'","Wsparcie dla środowisk twórczych. Studio requirements, Creative solutions","-15%","","Praga-Północ, Żoliborz"
"Według terminu","PAKIET 'WIOSENNY'","Early bird booking, Spring check-up, Summer ready","Różne","","Marzec-Maj"
"Według terminu","PAKIET 'ZIMOWY'","Off-season discount, Winter service, Emergency priority","-20%","","Grudzień-Luty"